BindingDB_Reactant_set_id,IC50_nM
352476,36
352306,36
285822,36
285836,36
285747,36
285665,36
285403,36
285462,36
285465,36
50081126,36
286791,36
50371583,36
50976223,36
216344,36.05
234595,36.4
414944,37
414956,37
51061928,37
401201,37
400929,37
400956,37
401043,37
400854,37
400763,37
418587,37
400677,37
400648,37
352479,37
285725,37
285673,37
285506,37
285523,37
51095838,37
51045311,37
51062939,37
51061872,37
216487,37.11
234618,37.4
400949,38
401053,38
50710838,38
51061938,38
400916,38
400926,38
400782,38
400701,38
400629,38
370876,38
352525,38
352464,38
352466,38
352469,38
285848,38
285930,38
285933,38
285824,38
285839,38
285438,38
216248,38.4
216338,38.5
221713,38.73
414819,39
50440530,39
418579,39
400838,39
400689,39
352571,39
352459,39
352390,39
352412,39
352417,39
50199366,39
285790,39
285812,39
285628,39
285552,39
285496,39
401131,39
50564223,39
51062104,39
234624,39.2
216473,39.21
234634,39.4
50981596,39.6
234597,39.6
216354,39.89
50496370,40
50611011,40
50475563,40
400933,40
400943,40
400946,40
401048,40
400910,40
400651,40
352695,40
352338,40
352302,40
285752,40
285688,40
285529,40
286787,40
286793,40
50417501,40
50665798,40
51095849,40
216312,40.28
50973018,40.4
234633,40.6
234625,40.7
234590,40.9
50494048,41
50559434,41
50665767,41
50665801,41
50710829,41
50976240,41
414818,41
414894,41
400846,41
418595,41
352470,41
352365,41
352377,41
50357805,41
50357813,41
352311,41
285820,41
285715,41
285683,41
255685,41
399540,41.1
221710,41.16
216313,41.18
216495,41.4
234593,41.8
216494,41.87
414931,42
50848729,42
400765,42
352433,42
352461,42
352474,42
352392,42
50252415,42
285831,42
285500,42
285508,42
401031,42
50565953,42
50569668,42
234549,42.1
50973023,42.3
258335,42.3
216526,42.52
216551,42.66
234611,42.8
443916,43
50417500,43
51045320,43
285832,43
285787,43
285984,43
352414,43
50365813,43
414914,43
401149,43
234646,43.1
216432,43.55
216421,43.61
216339,43.74
234528,43.8
216527,43.97
443862,44
50905611,44
401005,44
401046,44
400928,44
400817,44
400670,44
352724,44
352614,44
352560,44
50247868,44
285709,44
285754,44
286816,44
414896,44
50715373,44
50976224,44
51045325,44
234651,44.6
234551,44.7
234579,44.9
50371567,45
352613,45
352543,45
352593,45
352478,45
352371,45
50665803,45
286781,45
285921,45
50710834,45
216394,45.02
216510,45.65
234620,45.8
216537,45.95
401037,46
50937695,46
400797,46
400675,46
352472,46
352372,46
50357818,46
351823,46
285965,46
286800,46
285420,46
285448,46
400881,46
234610,46.2
234545,46.8
216481,46.97
50371596,47
50559433,47
414924,47
414946,47
401282,47
401054,47
400856,47
352701,47
400649,47
352611,47
352631,47
352493,47
352299,47
294092,47
50157311,47
285827,47
285672,47
285405,47
50371605,47
50948703,47
216411,47.41
50371602,48
50712415,48
50475527,48
50712301,48
401130,48
401033,48
400707,48
352630,48
352541,48
352355,48
285838,48
285658,48
286802,48
50976227,48
50715362,48
234552,48.4
399536,48.7
352715,49
50842778,49
352557,49
50357817,49
285946,49
285631,49
285590,49
285524,49
285413,49
285419,49
285435,49
255671,49
400653,49
50564602,49
51095842,49
50715361,49
50665745,49
234648,49.8
234641,49.9
400940,50
50541098,50
50420835,50
50224274,50
285748,50
285434,50
285443,50
352562,50
50611010,50
50715371,50
50715370,50
51091106,50
50948692,50
234602,50.2
234588,50.7
234582,50.8
234643,50.8
50494058,51
50842792,51
411893,51
50391278,51
352707,51
352629,51
352594,51
352462,51
285920,51
285835,51
285746,51
285617,51
50371626,51
50665751,51
50842767,51
