BindingDB Reactant_set_id,IC50 (nM)
50477924,4200
50600033,4200
31741,4200
50416828,4200
50862594,4200
50714221,4210
50632286,4210
8606,4220
50446903,4230
50449155,4230
50581395,4233
50165060,4240
50355097,4260
272118,4272
50331708,4280
50931093,4282
50622216,4300
50330365,4300
50378452,4300
50413885,4300
50927837,4300
50863998,4300
50632266,4300
50443088,4300
50704164,4350
7525,4370
50847690,4389
50108528,4394
50498643,4400
50416832,4400
50277008,4400
50413884,4400
50949735,4400
50454873,4400
9472,4400
357198,4404
50207532,4440
9424,4490
50628113,4500
191782,4500
50426494,4500
280954,4520
280952,4520
51017461,4570.88
51017460,4570.88
14922,4600
50846402,4600
50330386,4600
14923,4600
50704161,4600
50628127,4600
50377931,4620
50285169,4650
50927833,4650
50388034,4670
50475500,4670
50382024,4680
357156,4695
50478041,4700
7442,4700
31748,4700
7445,4700
50433667,4700
45147,4715
50931094,4718
50463856,4720
411571,4750
50699015,4760
377136,4760
50369607,4760
50931095,4773
50377861,4790
50477665,4800
31860,4800
50324020,4800
50454875,4800
50927769,4800
50349530,4807
50931096,4819
50847691,4834
50380038,4840
50704162,4850
8515,4860
51028791,4880
51028790,4880
50369282,4900
50927825,4900
50266756,4900
50445848,4900
50319517,4900
50369269,4900
50704160,4950
50385132,4950
10074,4960
50359541,4966
22201,5000
50348984,5000
50066826,5000
50927819,5000
50862566,5000
50929089,5000
169507,5.00E+03
50449110,5000
50449111,5000
50313069,5030
50927822,5050
50927821,5050
50164981,5060
50708549,5080
50722234,5080
50414291,5080
50355098,5090
259674,5090
50862595,5100
50628125,5100
50632247,5100
423246,5100
50927835,5100
50862567,5100
50475502,5120
50434290,5145
50385038,5150
50493346,5200
50981417,5200
50416833,5200
50927841,5200
50927828,5200
170830,5.25E+03
50927829,5250
50498657,5300
50433014,5300
50927847,5300
50927812,5300
50632235,5300
50416834,5300
50574571,5300
50446330,5300
14892,5320
50581368,5350
50478061,5400
50433682,5400
50581427,5400
357189,5428
50348463,5470
50285172,5490
51017522,5495.41
50127277,5500
259910,5500
50632264,5500
22189,5500
50323251,5500
50862570,5500
9389,5500
50330367,5500
50927830,5550
50722233,5580
50414292,5580
50493375,5600
50927818,5600
50632245,5600
50426811,5600
50355096,5610
16151,5640
259908,5640
50609390,5640
50330427,5650
50477919,5700
50478018,5700
8513,5700
50927771,5700
273919,5710
50475504,5760
50927817,5800
50927834,5800
50632243,5800
50446331,5800
8185,5820
50477918,5900
50424069,5900
50416837,5900
50428631,5940
50257950,5960
50722232,5970
50066848,5981
50929087,6000
50443600,6000
50581383,6000
50878946,6000
9493,6000
50369387,6000
50277012,6000
50323949,6000
50704163,6010
50329760,6100
50908425,6100
50422714,6100
50454877,6100
50419262,6100
50300724,6100
37950,6161
50927836,6200
12030,6200
50632250,6200
50434283,6292
50544696,6300
50600034,6300
50323243,6300
50329242,6308
51028613,6309.57
51028616,6309.57
50369612,6350
50579723,6358
412708,6360
273942,6360
50561404,6365
411580,6380
259900,6400
50927840,6450
50927832,6500
50446332,6500
50348989,6500
51056814,6500
22210,6500
50369170,6570
50703614,6580
50498665,6600
50486641,6600
50485031,6600
50353638,6600
50927845,6600
12027,6600
10009,6600
50862571,6600
50419214,6600
12026,6600
358603,6608
50857502,6679
50600032,6700
12028,6700
50454879,6700
50847710,6754
50285168,6800
50927816,6800
50927820,6800
50449911,6800
8592,6830
50165043,6890
50927838,6900
50449910,6900
50319536,6900
50544472,6900
50927843,6950
50433691,6960
50426486,7000
50426500,7000
50927810,7000
231563,7007
50380053,7040
50498667,7100
50498669,7100
50486235,7100
50252128,7100
50324012,7100
50164901,7100
50485027,7100
50938824,7200
50715265,7200
50927846,7250
50927814,7300
50628156,7300
50581441,7350
409031,7350
50862568,7400
50927768,7400
50927726,7450
50349578,7458
50348464,7480
50449903,7500
50938819,7500
50477666,7600
9969,7600
50443599,7600
50466865,7800
50454881,7800
50927831,7800
27491,7800
50426514,7800
50424057,7800
50285250,7820
50266759,7900
50381970,7960
169506,8.00E+03
50882570,8000
50416829,8000
50317086,8000
50237418,8000
50323871,8000
225337,8.10E+03
10077,8160
358619,8171
50561454,8181
406636,8200
50426808,8200
170290,8.20E+03
50722231,8280
7522,8290
50581391,8300
50862562,8300
8514,8320
50857505,8330
50285247,8350
50408175,8360
272115,8372
50433675,8400
357190,8416
259648,8450
50424084,8500
50369635,8520
50434288,8553
50422715,8600
50454884,8600
50908469,8600
50347877,8600
50454883,8600
50369611,8690
50369616,8700
9925,8700
50454886,8700
50964440,8800
50449894,8800
50561440,8817
50369628,8850
50927774,8900
50449893,8900
8181,8920
50353640,9000
50866764,9000
50454812,9000
9489,9000
50424081,9000
50276993,9000
50561414,9069
50164978,9110
410847,9200
50938809,9200
50348484,9200
50449892,9200
50454813,9200
50581338,9200
50369171,9350
50927770,9400
50600028,9400
50722230,9420
272114,9458
50141103,4
50108473,4
50070522,4
50070523,4
50070524,4
50070532,4
50070533,4
51028977,4
51028812,4
51028815,4
51028873,4
50974112,4
50931025,4
50924771,4
50927788,4
50930479,4
50600037,4.1
50609529,4.1
50609530,4.1
50503009,4.1
51017632,4.17
410040,4.2
50865972,4.2
50066693,4.2
50609523,4.2
410066,4.2
62502,4.2
50361609,4.2
50929100,4.3
50108541,4.3
389210,4.3
436750,4.3
410047,4.3
50296716,4.4
50066685,4.4
50600040,4.4
50066631,4.5
50329186,4.5
50856125,4.5
50106760,4.5
50106759,4.5
410176,4.5
31714,4.6
50066651,4.6
50856135,4.6
306891,4.6
50362375,4.6
410155,4.6
50915169,4.7
50656559,4.7
50477927,9500
50432981,9500
32002,9500
50632237,9500
50322800,9500
50285171,9530
50908419,9600
50369487,9600
50545495,9600
50632234,9800
50426488,9800
50927772,9800
50454814,9800
50165023,9820
51028787,9876
50127275,9900
50498652,10000
50498659,10000
50498662,10000
231562,10000
266616,10000
266618,10000
266628,10000
266629,10000
266651,10000
266654,10000
266672,10000
266692,10000
266693,10000
266696,10000
266704,10000
176890,10000
225332,1.00E+04
225334,1.00E+04
231557,10000
50579708,10000
50579713,10000
50915283,10000
50561632,10000
50455517,10000
50450002,10000
50445863,10000
50419213,10000
50864800,4.7
51059767,4.7
50066835,4.8
50329187,4.8
32008,4.8
323921,4.8
248906,4.86
410200,4.9
50378018,4.9
50929096,4.9
50372969,4.9
50296689,4.9
311792,4.98
50866788,5
